#入力日時,購入日,品目,金額,森山立替,木村立替,山本立替,森山分担,木村分担,山本分担,森山端数,木村端数,山本端数,精算状況
2012年07月01日20時39分45秒,20120607,外食費,370,,370,,370,,,null,null,null,精算(端数込)
2012年07月01日20時40分48秒,20120607,外食費,260,,260,,260,,,null,null,null,精算(端数込)
2012年06月10日00時13分30秒,20120609,食費,2526,,,2526,842,842,842,null,null,null,精算(端数込)
2012年06月10日00時13分42秒,20120609,食費,148,,,148,49,49,49,null,null,1,精算(端数込)
2012年06月10日00時13分57秒,20120609,食費,2020,,,2020,1010,,1010,null,null,null,精算(端数込)
2012年06月10日00時14分14秒,20120609,雑貨(消耗品),436,,,436,145,145,145,null,null,1,精算(端数込)
2012年06月10日23時12分30秒,20120610,雑貨(消耗品),3580,,,3580,1193,1193,1193,null,null,1,精算(端数込)
2012年06月11日03時11分08秒,20120610,食費,1349,,,1349,449,449,449,null,null,2,精算(端数込)
2012年07月01日20時41分43秒,20120612,雑貨(消耗品),698,,698,,232,232,232,null,2,null,精算(端数込)
2012年07月01日20時42分07秒,20120613,食費,798,,798,,266,266,266,null,null,null,精算(端数込)
2012年07月09日15時17分31秒,20120614,外食費,947,947,,,473,473,,1,null,null,精算(端数込)
2012年07月22日02時53分53秒,20120614,食費,634,,,634,211,211,211,null,null,1,精算(端数込)
2012年07月01日20時42分43秒,20120616,食費,612,,612,,204,204,204,null,null,null,精算(端数込)
2012年07月01日20時43分26秒,20120616,食費,396,,396,,198,,198,null,null,null,精算(端数込)
2012年07月01日20時43分41秒,20120616,食費,450,,450,,150,150,150,null,null,null,精算(端数込)
2012年07月01日20時44分11秒,20120616,食費,4100,,4100,,1366,1366,1366,null,2,null,精算(端数込)
2012年07月01日20時44分33秒,20120617,食費,390,,390,,,,390,null,null,null,精算(端数込)
2012年07月01日20時45分14秒,20120617,食費,350,,350,,,,350,null,null,null,精算(端数込)
2012年07月01日20時45分44秒,20120617,食費,103,,103,,34,34,34,null,1,null,精算(端数込)
2012年07月01日20時46分12秒,20120617,食費,1062,,1062,,354,354,354,null,null,null,精算(端数込)
2012年06月25日02時11分21秒,20120618,食費,3039,,,3039,1013,1013,1013,null,null,null,精算(端数込)
2012年06月19日22時03分01秒,20120619,食費,1100,,,1100,366,366,366,null,null,2,精算(端数込)
2012年07月01日20時46分44秒,20120620,雑貨(消耗品),946,,946,,315,315,315,null,1,null,精算(端数込)
2012年07月01日20時47分12秒,20120620,食費,1323,,1323,,441,441,441,null,null,null,精算(端数込)
2012年06月23日15時31分18秒,20120623,食費,1155,,1155,,1155,,,null,null,null,精算(端数込)
2012年06月23日15時31分39秒,20120623,クリーニング,1566,,1566,,,,1566,null,null,null,精算(端数込)
2012年06月23日18時20分04秒,20120623,食費,1324,,,1324,,1324,,null,null,null,精算(端数込)
2012年06月25日02時11分33秒,20120623,食費,1506,,,1506,502,502,502,null,null,null,精算(端数込)
2012年06月25日02時11分45秒,20120623,食費,1000,,,1000,333,333,333,null,null,1,精算(端数込)
2012年07月01日20時48分08秒,20120625,食費,1060,,1060,,1060,,,null,null,null,精算(端数込)
2012年07月10日08時11分14秒,20120625,食費,1310,1310,,,436,436,436,2,null,null,精算(端数込)
2012年07月01日17時07分43秒,20120629,外食費,4200,4200,,,1400,1400,1400,null,null,null,精算(端数込)
2012年07月01日20時48分29秒,20120629,食費,325,,325,,108,108,108,null,1,null,精算(端数込)
2012年07月01日20時48分47秒,20120629,食費,488,,488,,162,162,162,null,2,null,精算(端数込)
2012年07月01日20時49分03秒,20120629,食費,450,,450,,150,150,150,null,null,null,精算(端数込)
2012年07月09日15時13分21秒,20120629,家賃振込料,420,420,,,140,140,140,null,null,null,精算(端数込)
2012年07月09日15時16分15秒,20120629,NTT料金,2992,2992,,,997,997,997,1,null,null,精算(端数込)
2012年07月09日15時18分37秒,20120629,ガス代,6650,6650,,,2216,2216,2216,2,null,null,精算(端数込)
2012年07月09日15時19分09秒,20120629,電気代,9317,9317,,,3105,3105,3105,2,null,null,精算(端数込)
2012年07月01日20時49分24秒,20120630,食費,1516,,1516,,505,505,505,null,1,null,精算(端数込)
2012年07月01日20時49分40秒,20120630,雑貨(消耗品),3000,,3000,,1000,1000,1000,null,null,null,精算(端数込)
2012年07月01日20時49分55秒,20120630,雑貨(消耗品),4070,,4070,,1356,1356,1356,null,2,null,精算(端数込)
2012年07月01日20時50分43秒,20120630,食費,3456,,3456,,1152,1152,1152,null,null,null,精算(端数込)
2012年07月03日02時48分53秒,20120630,食費,1500,,,1500,500,500,500,null,null,null,精算(端数込)
2012年07月03日02時49分03秒,20120630,食費,4977,,,4977,1659,1659,1659,null,null,null,精算(端数込)
2012年07月03日02時49分27秒,20120630,食費,1360,,,1360,453,453,453,null,null,1,精算(端数込)
2012年07月01日20時51分07秒,20120701,食費,278,,278,,92,92,92,null,2,null,精算(端数込)
2012年07月01日20時51分18秒,20120701,食費,190,,190,,63,63,63,null,1,null,精算(端数込)
2012年07月03日02時49分18秒,20120701,食費,3323,,,3323,1107,1107,1107,null,null,2,精算(端数込)
2012年07月09日15時14分36秒,20120702,食費,1050,1050,,,350,350,350,null,null,null,精算(端数込)
2012年07月15日14時24分02秒,20120704,雑貨(消耗品),698,,698,,232,232,232,null,2,null,精算(端数込)
2012年07月15日14時24分42秒,20120706,食費,3344,,3344,,1114,1114,1114,null,2,null,精算(端数込)
2012年07月15日14時25分05秒,20120706,食費,198,,198,,66,66,66,null,null,null,精算(端数込)
2012年07月08日00時15分32秒,20120707,食費,4172,,,4172,1390,1390,1390,null,null,2,精算(端数込)
2012年07月08日22時58分22秒,20120708,食費,246,,,246,82,82,82,null,null,null,精算(端数込)
2012年07月08日22時58分45秒,20120708,食費,1310,,,1310,436,436,436,null,null,2,精算(端数込)
2012年07月08日22時59分19秒,20120708,食費,390,,,390,130,130,130,null,null,null,精算(端数込)
2012年07月08日22時59分28秒,20120708,食費,1773,,,1773,591,591,591,null,null,null,精算(端数込)
2012年07月08日22時59分50秒,20120708,雑貨(消耗品),2760,,,2760,920,920,920,null,null,null,精算(端数込)
2012年07月08日23時00分42秒,20120708,雑貨(家具･家電),11860,,,11860,11860,,,null,null,null,精算(端数込)
2012年07月15日14時25分21秒,20120708,食費,1110,,1110,,370,370,370,null,null,null,精算(端数込)
2012年07月09日15時15分40秒,20120709,その他,190105,190105,,,63368,63368,63368,1,null,null,精算(端数込)
2012年07月09日15時18分06秒,20120709,水道代,9073,9073,,,3024,3024,3024,1,null,null,精算(端数込)
2012年07月10日21時23分11秒,20120710,食費,570,570,,,285,285,,null,null,null,精算(端数込)
2012年07月10日21時23分22秒,20120710,食費,630,630,,,210,210,210,null,null,null,精算(端数込)
2012年07月10日21時23分35秒,20120710,食費,1892,1892,,,946,946,,null,null,null,精算(端数込)
2012年07月13日11時09分16秒,20120711,その他,40660,40660,,,13553,13553,13553,1,null,null,精算(端数込)
2012年07月14日02時50分29秒,20120713,電気代,9224,9224,,,3074,3074,3074,2,null,null,精算(端数込)
2012年07月15日14時26分45秒,20120713,食費,575,,575,,575,,,null,null,null,精算(端数込)
2012年07月15日14時26分55秒,20120713,食費,103,,103,,34,34,34,null,1,null,精算(端数込)
2012年07月15日14時27分19秒,20120714,食費,5780,,5780,,1926,1926,1926,null,2,null,精算(端数込)
2012年07月15日14時27分35秒,20120714,雑貨(消耗品),398,,398,,132,132,132,null,2,null,精算(端数込)
2012年07月15日15時28分38秒,20120715,食費,4015,,,4015,1338,1338,1338,null,null,1,精算(端数込)
2012年07月15日15時29分05秒,20120715,雑貨(消耗品),258,,,258,86,86,86,null,null,null,精算(端数込)
2012年07月16日21時16分10秒,20120715,食費,1900,,1900,,633,633,633,null,1,null,精算(端数込)
2012年07月16日21時17分02秒,20120715,食費,2000,,2000,,2000,,,null,null,null,精算(端数込)
2012年07月16日21時17分13秒,20120715,食費,1400,,1400,,,,1400,null,null,null,精算(端数込)
2012年07月16日21時19分38秒,20120715,雑貨(消耗品),358,,,358,119,119,119,null,null,1,精算(端数込)
2012年07月16日21時13分25秒,20120716,クリーニング,1400,,1400,,1400,,,null,null,null,精算(端数込)
2012年07月16日21時14分35秒,20120716,食費,1589,,1589,,,794,794,null,1,null,精算(端数込)
2012年07月16日21時14分48秒,20120716,食費,680,,680,,226,226,226,null,2,null,精算(端数込)
2012年07月16日21時15分04秒,20120716,食費,147,,147,,49,49,49,null,null,null,精算(端数込)
2012年07月16日21時20分11秒,20120716,食費,2043,,,2043,681,681,681,null,null,null,精算(端数込)
2012年07月22日02時54分12秒,20120718,食費,781,,,781,260,260,260,null,null,1,精算(端数込)
2012年08月28日12時27分15秒,20120718,食費,990,,990,,990,,,null,null,null,精算(端数込)
2012年07月22日02時52分48秒,20120721,食費,3260,,,3260,1086,1086,1086,null,null,2,精算(端数込)
2012年07月22日02時52分57秒,20120721,食費,476,,,476,158,158,158,null,null,2,精算(端数込)
2012年07月22日02時53分04秒,20120721,食費,180,,,180,60,60,60,null,null,null,精算(端数込)
2012年07月22日02時53分18秒,20120721,雑貨(消耗品),2292,,,2292,764,764,764,null,null,null,精算(端数込)
2012年08月28日12時27分52秒,20120721,食費,3264,,3264,,1088,1088,1088,null,null,null,精算(端数込)
2012年08月28日12時28分11秒,20120721,食費,125,,125,,41,41,41,null,2,null,精算(端数込)
2012年07月29日04時11分48秒,20120722,食費,586,,,586,195,195,195,null,null,1,精算(端数込)
2012年07月29日04時12分03秒,20120722,食費,1190,,,1190,396,396,396,null,null,2,精算(端数込)
2012年07月29日04時12分21秒,20120722,食費,498,,,498,166,166,166,null,null,null,精算(端数込)
2012年07月29日04時12分29秒,20120722,食費,1100,,,1100,366,366,366,null,null,2,精算(端数込)
2012年08月28日12時28分49秒,20120722,食費,1225,,1225,,408,408,408,null,1,null,精算(端数込)
2012年08月28日12時29分36秒,20120723,食費,2013,,2013,,1006,1006,,null,1,null,精算(端数込)
2012年08月28日12時30分22秒,20120725,雑貨(消耗品),398,,398,,199,199,,null,null,null,精算(端数込)
2012年07月27日11時23分05秒,20120726,食費,3882,3882,,,1941,1941,,null,null,null,精算(端数込)
2012年07月27日11時23分27秒,20120726,食費,250,250,,,125,125,,null,null,null,精算(端数込)
2012年07月27日16時20分35秒,20120727,雑貨(消耗品),4980,4980,,,1660,1660,1660,null,null,null,精算(端数込)
2012年07月27日22時12分05秒,20120727,食費,314,314,,,,314,,null,null,null,精算(端数込)
2012年07月29日15時10分03秒,20120729,外食費,3610,3610,,,1203,1203,1203,1,null,null,精算(端数込)
2012年07月29日23時10分21秒,20120729,食費,2522,,,2522,840,840,840,null,null,2,精算(端数込)
2012年07月29日23時10分35秒,20120729,雑貨(消耗品),794,,,794,264,264,264,null,null,2,精算(端数込)
2012年08月04日18時40分55秒,20120730,雑貨(家具･家電),398,398,,,132,132,132,2,null,null,精算(端数込)
2012年08月04日19時45分41秒,20120730,外食費,6140,6140,,,3070,,3070,null,null,null,精算(端数込)
2012年08月04日19時45分14秒,20120731,家賃振込料,420,420,,,140,140,140,null,null,null,精算(端数込)
2012年08月01日00時49分25秒,20120801,ケーブル代,6930,,,6930,2310,2310,2310,null,null,null,精算(端数込)
2012年08月01日00時49分38秒,20120801,NHK料金,4180,,,4180,1393,1393,1393,null,null,1,精算(端数込)
2012年08月04日18時41分47秒,20120801,雑貨(家具･家電),148,148,,,49,49,49,1,null,null,精算(端数込)
2012年08月28日12時31分07秒,20120801,雑貨(消耗品),758,,758,,,379,379,null,null,null,精算(端数込)
2012年08月17日00時51分59秒,20120803,食費,520,,,520,173,173,173,null,null,1,精算(端数込)
2012年08月28日12時31分45秒,20120803,食費,693,,693,,231,231,231,null,null,null,精算(端数込)
2012年08月28日12時32分08秒,20120803,雑貨(消耗品),3200,,3200,,1066,1066,1066,null,2,null,精算(端数込)
2012年08月04日22時58分35秒,20120804,交通費,1790,1790,,,596,596,596,2,null,null,精算(端数込)
2012年08月05日21時35分26秒,20120805,食費,2247,,,2247,749,749,749,null,null,null,精算(端数込)
2012年08月05日23時10分29秒,20120805,食費,1100,,,1100,366,366,366,null,null,2,精算(端数込)
2012年08月28日12時32分42秒,20120805,雑貨(消耗品),1204,,1204,,401,401,401,null,1,null,精算(端数込)
2012年08月28日12時32分59秒,20120805,食費,222,,222,,74,74,74,null,null,null,精算(端数込)
2012年08月09日08時26分06秒,20120809,食費,2206,,,2206,735,735,735,null,null,1,精算(端数込)
2012年08月28日12時33分29秒,20120811,雑貨(消耗品),197,,197,,65,65,65,null,2,null,精算(端数込)
2012年08月28日12時33分43秒,20120811,雑貨(消耗品),2480,,2480,,826,826,826,null,2,null,精算(端数込)
2012年08月28日12時34分16秒,20120811,雑貨(消耗品),299,,299,,99,99,99,null,2,null,精算(端数込)
2012年08月28日12時34分29秒,20120811,雑貨(消耗品),798,,798,,266,266,266,null,null,null,精算(端数込)
2012年08月28日12時34分59秒,20120811,食費,1440,,1440,,480,480,480,null,null,null,精算(端数込)
2012年08月28日12時35分14秒,20120811,食費,609,,609,,203,203,203,null,null,null,精算(端数込)
2012年09月25日21時42分53秒,20120811,食費,2004,,,2004,668,668,668,null,null,null,精算(端数込)
2012年08月28日12時35分51秒,20120812,交通費,880,,880,,,440,440,null,null,null,精算(端数込)
2012年08月28日12時36分32秒,20120812,食費,1890,,1890,,630,630,630,null,null,null,精算(端数込)
2012年08月16日02時55分53秒,20120816,食費,3083,,,3083,1027,1027,1027,null,null,2,精算(端数込)
2012年08月17日00時51分35秒,20120817,食費,189,,,189,63,63,63,null,null,null,精算(端数込)
2012年08月20日02時03分40秒,20120818,食費,3284,,,3284,1094,1094,1094,null,null,2,精算(端数込)
2012年08月20日19時42分03秒,20120819,交通費,890,890,,,,,890,null,null,null,精算(端数込)
2012年10月05日22時48分27秒,20120819,交通費,2690,2690,,,896,896,896,2,null,null,精算(端数込)
2012年08月20日19時40分11秒,20120820,電気代,12247,12247,,,4082,4082,4082,1,null,null,精算(端数込)
2012年08月20日19時40分26秒,20120820,NTT料金,2992,2992,,,997,997,997,1,null,null,精算(端数込)
2012年08月20日19時41分07秒,20120820,ガス代,6161,6161,,,2053,2053,2053,2,null,null,精算(端数込)
2012年08月23日02時46分02秒,20120822,食費,1629,,,1629,543,543,543,null,null,null,精算(端数込)
2012年08月28日12時39分33秒,20120825,食費,1348,,1348,,,674,674,null,null,null,精算(端数込)
2012年08月28日12時43分27秒,20120826,外食費,2540,,2540,,,,2540,null,null,null,精算(端数込)
2012年08月28日12時43分58秒,20120826,外食費,1850,,1850,,1850,,,null,null,null,精算(端数込)
2012年08月28日12時44分24秒,20120826,食費,1100,,1100,,366,366,366,null,2,null,精算(端数込)
2012年08月28日12時51分16秒,20120826,遊行費,450,,450,,150,150,150,null,null,null,精算(端数込)
2012年08月28日12時51分38秒,20120826,遊行費,1000,,1000,,1000,,,null,null,null,精算(端数込)
2012年08月28日12時51分50秒,20120826,遊行費,1200,,1200,,,,1200,null,null,null,精算(端数込)
2012年08月28日12時44分58秒,20120827,外食費,2400,,2400,,800,800,800,null,null,null,精算(端数込)
2012年08月28日12時45分30秒,20120827,食費,974,,974,,324,324,324,null,2,null,精算(端数込)
2012年08月28日12時45分54秒,20120827,食費,309,,309,,103,103,103,null,null,null,精算(端数込)
2012年08月28日12時46分08秒,20120827,食費,256,,256,,85,85,85,null,1,null,精算(端数込)
2012年08月28日12時46分17秒,20120827,食費,2500,,2500,,833,833,833,null,1,null,精算(端数込)
2012年08月28日12時49分22秒,20120827,遊行費,1100,,1100,,,550,550,null,null,null,精算(端数込)
2012年08月28日12時50分54秒,20120827,遊行費,450,,450,,150,150,150,null,null,null,精算(端数込)
2012年08月28日12時53分50秒,20120827,雑貨(家具･家電),20000,,20000,,20000,,,null,null,null,精算(端数込)
